region_name,region_name_,region_fullname,region_dir
"Acholi","Acholi","Acholi Region","acholi_region"
"Ankole","Ankole","Ankole Region","ankole_region"
"Bugisu","Bugisu","Bugisu Region","bugisu_region"
"Bukedi","Bukedi","Bukedi Region","bukedi_region"
"Bunyoro","Bunyoro","Bunyoro Region","bunyoro_region"
"Busoga","Busoga","Busoga Region","busoga_region"
"Kampala","Kampala","Kampala Region","kampala_district"
"Karamoja","Karamoja","Karamoja Region","karamoja_region"
"Kigezi","Kigezi","Kigezi Region","kigezi_region"
"Lango","Lango","Lango Region","lango_region"
"North Central","North_Central","North Central Region","north_central_region"
"South Central","South_Central","South Central Region","south_central_region"
"Teso","Teso","Teso Region","teso_region"
"Tooro","Tooro","Tooro Region","tooro_region"
"West Nile","West_Nile","West Nile Region","west_nile_region"
