district_name,dir,stem
Abim District,abim_district,abim
Adjumani District,adjumani_district,adjumani
Agago District,agago_district,agago
Alebtong District,alebtong_district,alebtong
Amolatar District,amolatar_district,amolatar
Amudat District,amudat_district,amudat
Amuria District,amuria_district,amuria
Amuru District,amuru_district,amuru
Apac District,apac_district,apac
Arua District,arua_district,arua
Budaka District,budaka_district,budaka
Bududa District,bududa_district,bududa
Bugiri District,bugiri_district,bugiri
Bugweri District,bugweri_district,bugweri
Buhweju District,buhweju_district,buhweju
Buikwe District,buikwe_district,buikwe
Bukedea District,bukedea_district,bukedea
Bukomansimbi District,bukomansimbi_district,bukomansimbi
Bukwo District,bukwo_district,bukwo
Bulambuli District,bulambuli_district,bulambuli
Buliisa District,buliisa_district,buliisa
Bundibugyo District,bundibugyo_district,bundibugyo
Bunyangabu District,bunyangabu_district,bunyangabu
Bushenyi District,bushenyi_district,bushenyi
Busia District,busia_district,busia
Butaleja District,butaleja_district,butaleja
Butambala District,butambala_district,butambala
Butebo District,butebo_district,butebo
Buvuma District,buvuma_district,buvuma
Buyende District,buyende_district,buyende
Dokolo District,dokolo_district,dokolo
Gomba District,gomba_district,gomba
Gulu District,gulu_district,gulu
Hoima District,hoima_district,hoima
Ibanda District,ibanda_district,ibanda
Iganga District,iganga_district,iganga
Isingiro District,isingiro_district,isingiro
Jinja District,jinja_district,jinja
Kaabong District,kaabong_district,kaabong
Kabale District,kabale_district,kabale
Kabarole District,kabarole_district,kabarole
Kaberamaido District,kaberamaido_district,kaberamaido
Kagadi District,kagadi_district,kagadi
Kakumiro District,kakumiro_district,kakumiro
Kalaki District,kalaki_district,kalaki
Kalangala District,kalangala_district,kalangala
Kaliro District,kaliro_district,kaliro
Kalungu District,kalungu_district,kalungu
Kampala District,kampala_district,kampala
Kamuli District,kamuli_district,kamuli
Kamwenge District,kamwenge_district,kamwenge
Kanungu District,kanungu_district,kanungu
Kapchorwa District,kapchorwa_district,kapchorwa
Kapelebyong District,kapelebyong_district,kapelebyong
Karenga District,karenga_district,karenga
Kasese District,kasese_district,kasese
Kassanda District,kassanda_district,kassanda
Katakwi District,katakwi_district,katakwi
Kayunga District,kayunga_district,kayunga
Kazo District,kazo_district,kazo
Kibaale District,kibaale_district,kibaale
Kiboga District,kiboga_district,kiboga
Kibuku District,kibuku_district,kibuku
Kikuube District,kikuube_district,kikuube
Kiruhura District,kiruhura_district,kiruhura
Kiryandongo District,kiryandongo_district,kiryandongo
Kisoro District,kisoro_district,kisoro
Kitagwenda District,kitagwenda_district,kitagwenda
Kitgum District,kitgum_district,kitgum
Koboko District,koboko_district,koboko
Kole District,kole_district,kole
Kotido District,kotido_district,kotido
Kumi District,kumi_district,kumi
Kwania District,kwania_district,kwania
Kween District,kween_district,kween
Kyankwanzi District,kyankwanzi_district,kyankwanzi
Kyegegwa District,kyegegwa_district,kyegegwa
Kyenjojo District,kyenjojo_district,kyenjojo
Kyotera District,kyotera_district,kyotera
Lamwo District,lamwo_district,lamwo
Lira District,lira_district,lira
Luuka District,luuka_district,luuka
Luwero District,luwero_district,luwero
Lwengo District,lwengo_district,lwengo
Lyantonde District,lyantonde_district,lyantonde
Madi-Okollo District,madi-okollo_district,madi-okollo
Manafwa District,manafwa_district,manafwa
Maracha District,maracha_district,maracha
Masaka District,masaka_district,masaka
Masindi District,masindi_district,masindi
Mayuge District,mayuge_district,mayuge
Mbale District,mbale_district,mbale
Mbarara District,mbarara_district,mbarara
Mitooma District,mitooma_district,mitooma
Mityana District,mityana_district,mityana
Moroto District,moroto_district,moroto
Moyo District,moyo_district,moyo
Mpigi District,mpigi_district,mpigi
Mubende District,mubende_district,mubende
Mukono District,mukono_district,mukono
Nabilatuk District,nabilatuk_district,nabilatuk
Nakapiripirit District,nakapiripirit_district,nakapiripirit
Nakaseke District,nakaseke_district,nakaseke
Nakasongola District,nakasongola_district,nakasongola
Namayingo District,namayingo_district,namayingo
Namisindwa District,namisindwa_district,namisindwa
Namutumba District,namutumba_district,namutumba
Napak District,napak_district,napak
Nebbi District,nebbi_district,nebbi
Ngora District,ngora_district,ngora
Ntoroko District,ntoroko_district,ntoroko
Ntungamo District,ntungamo_district,ntungamo
Nwoya District,nwoya_district,nwoya
Obongi District,obongi_district,obongi
Omoro District,omoro_district,omoro
Otuke District,otuke_district,otuke
Oyam District,oyam_district,oyam
Pader District,pader_district,pader
Pakwach District,pakwach_district,pakwach
Pallisa District,pallisa_district,pallisa
Rakai District,rakai_district,rakai
Rubanda District,rubanda_district,rubanda
Rubirizi District,rubirizi_district,rubirizi
Rukiga District,rukiga_district,rukiga
Rukungiri District,rukungiri_district,rukungiri
Rwampara District,rwampara_district,rwampara
Sembabule District,sembabule_district,sembabule
Serere District,serere_district,serere
Sheema District,sheema_district,sheema
Sironko District,sironko_district,sironko
Soroti District,soroti_district,soroti
Terego District,terego_district,terego
Tororo District,tororo_district,tororo
Wakiso District,wakiso_district,wakiso
Yumbe District,yumbe_district,yumbe
Zombo District,zombo_district,zombo
